"Percentile","Type","N","value","sd","Lq","Hq","Recovery Factor"
2.5,"Cetacean, CV = 0.2",2000,0.645372073244948,0.0121429502662731,0.625683445227493,0.665577003553736,"1"
2.5,"Cetacean, CV = 0.8 ",2000,0.837860001311728,0.00933398585139936,0.822061588390312,0.852400296165963,"1"
2.5,"Indiana Bat, CV = 0.2",2000,0.791697911156232,0.0162349145927718,0.764687162228147,0.817320514500825,"1"
2.5,"Indiana Bat, CV = 0.8 ",2000,0.943238449042423,0.0105797478185506,0.924984186643013,0.958122709075044,"1"
5,"Cetacean, CV = 0.2",2000,0.624230549357917,0.0128703728859954,0.602255764239099,0.644475541958808,"1"
5,"Cetacean, CV = 0.8 ",2000,0.81253736960019,0.0119550246016839,0.792132164831368,0.830811381980314,"1"
5,"Indiana Bat, CV = 0.2",2000,0.762111448285045,0.0207172995822599,0.725284124522295,0.79461499866641,"1"
5,"Indiana Bat, CV = 0.8 ",2000,0.927040206279632,0.0142961944212192,0.901822770511516,0.947201414030142,"1"
10,"Cetacean, CV = 0.2",2000,0.597583146694405,0.0139734567143302,0.575054723255352,0.619861990564538,"1"
10,"Cetacean, CV = 0.8 ",2000,0.772976124880353,0.0159152497594415,0.746106996085869,0.797932659220661,"1"
10,"Indiana Bat, CV = 0.2",2000,0.719864834009998,0.0273755635253446,0.672232641316807,0.762818759883836,"1"
10,"Indiana Bat, CV = 0.8 ",2000,0.901287348915958,0.0187041652589174,0.867927686824604,0.928537813614841,"1"
15,"Cetacean, CV = 0.2",2000,0.577717607960255,0.0143924111180564,0.554087094426366,0.60050456519213,"1"
15,"Cetacean, CV = 0.8 ",2000,0.738401552399327,0.020141680716561,0.702421761796812,0.768720622673547,"1"
15,"Indiana Bat, CV = 0.2",2000,0.67981008856842,0.03372829379687,0.620576582787813,0.729356629806418,"1"
15,"Indiana Bat, CV = 0.8 ",2000,0.876319556680049,0.0238762092974185,0.832630838518871,0.91027330065155,"1"
20,"Cetacean, CV = 0.2",2000,0.562261084727479,0.0149407217598067,0.537599143881794,0.587623759355739,"1"
20,"Cetacean, CV = 0.8 ",2000,0.703884485824004,0.0233306788966709,0.66276164893897,0.739138335233571,"1"
20,"Indiana Bat, CV = 0.2",2000,0.642583803497985,0.0393278014823048,0.57536495228677,0.701760069462598,"1"
20,"Indiana Bat, CV = 0.8 ",2000,0.848600122297948,0.0295623446514955,0.793933909809589,0.890056861928265,"1"
25,"Cetacean, CV = 0.2",2000,0.54877032899154,0.0159611757034632,0.522388439021179,0.574305479053464,"1"
25,"Cetacean, CV = 0.8 ",2000,0.6710794494224,0.0274971074603104,0.621728398823893,0.712941470394185,"1"
